,ant,frame,video,colony,date,t,x,y
1002967,14,40438,1,6,1/15/17,19:48:30,1392,492
1002968,14,40439,1,6,1/15/17,19:48:30,1388,484
1002969,14,40440,1,6,1/15/17,19:48:30,1392,492
1002970,14,40441,1,6,1/15/17,19:48:30,1392,492
1002971,14,40442,1,6,1/15/17,19:48:30,1392,488
1002972,14,40443,1,6,1/15/17,19:48:30,1404,484
1002973,14,40444,1,6,1/15/17,19:48:30,1408,484
1002974,14,40445,1,6,1/15/17,19:48:30,1412,480
1002975,14,40446,1,6,1/15/17,19:48:30,1412,476
1002976,14,40447,1,6,1/15/17,19:48:30,1420,476
1002977,14,40448,1,6,1/15/17,19:48:30,1428,476
1002978,14,40449,1,6,1/15/17,19:48:30,1428,480
1002979,14,40450,1,6,1/15/17,19:48:30,1436,476
1002980,14,40451,1,6,1/15/17,19:48:30,1448,472
1002981,14,40452,1,6,1/15/17,19:48:30,1464,468
1002982,14,40453,1,6,1/15/17,19:48:30,1484,456
1002983,14,40454,1,6,1/15/17,19:48:30,1496,452
1002984,14,40455,1,6,1/15/17,19:48:30,1508,448
1002985,14,40456,1,6,1/15/17,19:48:30,1524,440
1002986,14,40457,1,6,1/15/17,19:48:30,1544,432
1002987,14,40458,1,6,1/15/17,19:48:30,1564,424
1002988,14,40459,1,6,1/15/17,19:48:30,1572,424
1002989,15,44089,1,6,1/15/17,19:50:32,1876,300
1002990,15,44090,1,6,1/15/17,19:50:32,1848,312
1002991,15,44091,1,6,1/15/17,19:50:32,1828,316
1002992,15,44092,1,6,1/15/17,19:50:32,1816,324
1002993,15,44093,1,6,1/15/17,19:50:32,1812,316
1002994,15,44094,1,6,1/15/17,19:50:32,1816,308
1002995,15,44095,1,6,1/15/17,19:50:32,1820,308
1002996,15,44096,1,6,1/15/17,19:50:32,1816,308
1002997,15,44097,1,6,1/15/17,19:50:32,1820,304
1002998,15,44098,1,6,1/15/17,19:50:32,1824,300
1002999,15,44099,1,6,1/15/17,19:50:32,1816,300
1003000,15,44100,1,6,1/15/17,19:50:32,1812,300
1003001,15,44101,1,6,1/15/17,19:50:32,1800,300
1003002,15,44102,1,6,1/15/17,19:50:32,1784,300
1003003,15,44103,1,6,1/15/17,19:50:32,1764,296
1003004,15,44104,1,6,1/15/17,19:50:32,1724,292
1003005,15,44105,1,6,1/15/17,19:50:32,1688,276
1003006,15,44106,1,6,1/15/17,19:50:32,1664,268
1003007,15,44107,1,6,1/15/17,19:50:32,1652,268
1003008,15,44108,1,6,1/15/17,19:50:32,1596,268
1003009,15,44109,1,6,1/15/17,19:50:32,1564,248
1003010,15,44110,1,6,1/15/17,19:50:32,1528,240
1003011,15,44111,1,6,1/15/17,19:50:32,1476,208
1003012,15,44112,1,6,1/15/17,19:50:32,1424,200
1003013,15,44113,1,6,1/15/17,19:50:32,1360,188
1003014,15,44114,1,6,1/15/17,19:50:32,1332,188
1003015,15,44115,1,6,1/15/17,19:50:32,1308,172
1003016,15,44116,1,6,1/15/17,19:50:33,1288,176
1003017,15,44117,1,6,1/15/17,19:50:33,1288,172
1003018,15,44118,1,6,1/15/17,19:50:33,1288,168
1003019,15,44119,1,6,1/15/17,19:50:33,1292,172
1003020,15,44120,1,6,1/15/17,19:50:33,1300,172
1003021,15,44121,1,6,1/15/17,19:50:33,1312,176
1003022,15,44122,1,6,1/15/17,19:50:33,1312,184
1003023,15,44123,1,6,1/15/17,19:50:33,1308,188
1003024,15,44124,1,6,1/15/17,19:50:33,1316,192
